Process Name,PID,%CPU,%MEM
codium,129642,49.9,1.9963110199911613
codium,129642,49.9,1.9963110199911613
codium,129642,49.9,1.9963110199911613
codium,129642,49.9,1.9963110199911613
codium,129642,49.9,1.9963110199911613
codium,129642,49.9,1.9963110199911613
codium,129642,49.9,1.9963110199911613
codium,129642,49.9,1.9963110199911613
codium,129642,49.9,1.9963110199911613
codium,129642,49.9,1.9963110199911613
codium,129642,49.9,1.9963110199911613
codium,129642,49.9,1.9963110199911613
codium,129642,49.9,1.9963110199911613
brave,139380,28.6,1.7700312697158167
brave,139380,28.6,1.7700312697158167
brave,139380,28.6,1.7700312697158167
brave,139380,28.6,1.7700312697158167
brave,139380,28.6,1.7700312697158167
brave,139380,28.6,1.7700312697158167
brave,139380,28.6,1.7700312697158167
brave,139380,28.6,1.7700312697158167
brave,139380,28.6,1.7700312697158167
brave,139380,28.6,1.7700312697158167
brave,139380,28.6,1.7700312697158167
brave,139380,28.6,1.7700312697158167
codium,129612,14.4,0.7926927093432179
codium,129612,14.4,0.7926927093432179
codium,129612,14.4,0.7926927093432179
codium,129612,14.4,0.7926927093432179
codium,129612,14.4,0.7926927093432179
codium,129612,14.4,0.7926927093432179
codium,129612,14.4,0.7926927093432179
codium,129612,14.4,0.7926927093432179
codium,129612,14.4,0.7926927093432179
codium,129612,14.4,0.7926927093432179
codium,129612,14.4,0.7926927093432179
codium,129612,14.4,0.7926927093432179
codium,129612,14.4,0.7926927093432179
WD-TabNine,129838,11.7,0.07758373777926947
Xorg,1049,10.2,0.9773385603725988
python,135684,8.9,0.2680366811384657
python,135684,8.9,0.2680366811384657
python,135684,8.9,0.2680366811384657
python,135684,8.9,0.2680366811384657
python,135684,8.9,0.2680366811384657
python,135684,8.9,0.2680366811384657
codium,129581,7.0,1.0930620994705704
codium,129581,7.0,1.0930620994705704
codium,129581,7.0,1.0930620994705704
codium,129581,7.0,1.0930620994705704
codium,129581,7.0,1.0930620994705704
codium,129581,7.0,1.0930620994705704
codium,129581,7.0,1.0930620994705704
codium,129581,7.0,1.0930620994705704
codium,129581,7.0,1.0930620994705704
codium,129581,7.0,1.0930620994705704
codium,129581,7.0,1.0930620994705704
codium,129581,7.0,1.0930620994705704
codium,129581,7.0,1.0930620994705704
brave,139301,4.2,1.0042086655597102
brave,139301,4.2,1.0042086655597102
brave,139301,4.2,1.0042086655597102
brave,139301,4.2,1.0042086655597102
brave,139301,4.2,1.0042086655597102
brave,139301,4.2,1.0042086655597102
brave,139301,4.2,1.0042086655597102
brave,139301,4.2,1.0042086655597102
brave,139301,4.2,1.0042086655597102
brave,139301,4.2,1.0042086655597102
brave,139301,4.2,1.0042086655597102
brave,139301,4.2,1.0042086655597102
marco,1737,1.9,0.2978103324904848
ksoftirqd/0,14,1.4,0.0
mate-panel,1748,0.9,0.5088341622383487
mate-multiload-applet,1977,0.9,0.19431613613792928
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
chrome,128866,0.9,0.6322594805703549
codium,129659,0.9,1.2009854340407815
codium,129659,0.9,1.2009854340407815
codium,129659,0.9,1.2009854340407815
codium,129659,0.9,1.2009854340407815
codium,129659,0.9,1.2009854340407815
codium,129659,0.9,1.2009854340407815
codium,129659,0.9,1.2009854340407815
codium,129659,0.9,1.2009854340407815
codium,129659,0.9,1.2009854340407815
codium,129659,0.9,1.2009854340407815
codium,129659,0.9,1.2009854340407815
codium,129659,0.9,1.2009854340407815
codium,129659,0.9,1.2009854340407815
codium,129707,0.9,0.5781009626977979
codium,129707,0.9,0.5781009626977979
codium,129707,0.9,0.5781009626977979
codium,129707,0.9,0.5781009626977979
codium,129707,0.9,0.5781009626977979
